GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MTAS,mtas.codec,MtasFieldsProducer,121,268,5,11,27,73,8,13,4,9
MTAS,mtas.codec,MtasTerms,18,113,9,11,9,30,9,14,0,13
MTAS,mtas.codec,MtasCodec,42,81,4,6,12,29,8,10,4,9
MTAS,mtas.codec,MtasSimpleTextCodec,0,7,0,0,0,2,0,1,0,1
MTAS,mtas.codec,MtasCodecPostingsFormat,65,260,3,13,15,80,3,13,0,8
MTAS,mtas.codec,MtasFieldsConsumer,465,2881,75,193,65,745,74,82,0,22
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserMappingWordAnnotation,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasSketchParser.MtasSketchParserMappingWord,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserMappingCRMSentence,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasPennTreebankParser.Level,89,0,8,0,22,0,7,0,3,0
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserFunctionOutput,42,0,2,0,8,0,4,0,3,0
MTAS,mtas.analysis.parser,MtasTEIParser,22,0,0,0,9,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserType,3,44,0,0,1,15,1,7,1,7
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingWordAnnotation,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingWord,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasCRMParser,2330,0,224,0,466,0,125,0,13,0
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMAncestors,6,0,0,0,2,0,1,0,1,0
MTAS,mtas.analysis.parser,MtasParser,11,65,1,7,2,13,2,5,1,2
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingGroup,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserMappingToken,0,45,0,0,0,15,0,4,0,4
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserMappingCRMPair,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasSketchParser.MtasSketchParserMappingWordAnnotation,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasFoliaParser,0,22,0,0,0,9,0,2,0,2
MTAS,mtas.analysis.parser,MtasElanParser,22,0,0,0,9,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingRelationAnnotation,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserMapping,1487,1277,205,123,326,295,144,48,9,19
MTAS,mtas.analysis.parser,MtasPennTreebankParser,780,0,79,0,185,0,52,0,11,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserObject,158,320,25,19,38,86,26,35,9,30
MTAS,mtas.analysis.parser,MtasSketchParser.MtasSketchParserMappingGroup,21,0,0,0,8,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserVariable,188,0,16,0,30,0,11,0,3,0
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingRelation,2,19,0,0,1,7,1,1,1,1
MTAS,mtas.analysis.parser,MtasBasicParser.MtasParserVariableValue,9,0,0,0,4,0,1,0,1,0
MTAS,mtas.analysis.parser,MtasChatParser,16,0,0,0,7,0,2,0,2,0
MTAS,mtas.analysis.parser,MtasSketchParser,1132,0,124,0,228,0,68,0,6,0
MTAS,mtas.analysis.parser,MtasXMLParser,1220,1822,150,215,198,419,128,67,4,6
MTAS,mtas.analysis.parser,MtasBasicParser,1992,1690,362,204,417,374,223,85,6,19
MTAS,mtas.analysis.parser,MtasXMLParser.MtasXMLParserMappingGroupAnnotation,10,26,3,1,3,10,3,2,1,2
MTAS,mtas.analysis.parser,MtasCRMParser.MtasCRMParserFunction,11,0,0,0,4,0,1,0,1,0
MTAS,mtas.codec.util.heatmap,PrefixTreeMtasCounter.new Bits() {...},72,0,8,0,15,0,7,0,3,0
MTAS,mtas.codec.util.heatmap,PrefixTreeMtasCounter.GridVisitor,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.codec.util.heatmap,CellValues,277,99,14,10,37,23,14,9,5,6
MTAS,mtas.codec.util.heatmap,PrefixTreeMtasCounter.new AbstractVisitingPrefixTreeQuery() {...},6,69,2,2,1,5,3,2,1,2
MTAS,mtas.codec.util.heatmap,HeatmapMtasCounter.new PrefixTreeMtasCounter.GridVisitor() {...},108,151,16,10,15,21,12,3,0,2
MTAS,mtas.codec.util.heatmap,PrefixTreeMtasCounter,20,52,3,3,4,10,4,2,1,2
MTAS,mtas.codec.util.heatmap,HeatmapMtasCounter.Heatmap,23,92,3,7,2,23,4,5,1,3
MTAS,mtas.codec.util.heatmap,PrefixTreeMtasCounter.2.new AbstractVisitingPrefixTreeQuery.VisitorTemplate() {...},112,341,21,29,16,55,17,15,0,7
MTAS,mtas.codec.util.heatmap,HeatmapMtasCounter,544,331,66,28,91,63,49,5,3,4
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorConfig,0,58,0,0,0,13,0,1,0,1
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorFactory,136,464,22,38,28,107,20,15,0,5
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorResultReader,81,102,5,7,12,31,5,8,0,7
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorResultReader.new Iterator() {...},32,84,7,9,11,22,6,6,0,4
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorResultWriter,76,100,15,3,20,31,10,6,1,6
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessor,170,386,32,30,28,102,26,10,1,4
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorSizeReader,0,32,0,0,0,10,0,4,0,4
MTAS,mtas.solr.update.processor,MtasUpdateRequestProcessorResultItem,9,40,4,6,3,15,4,2,0,1
MTAS,mtas.analysis.token,MtasOffset,16,28,0,0,1,9,1,4,1,4
MTAS,mtas.analysis.token,MtasTokenString,19,9,0,0,6,4,3,2,3,2
MTAS,mtas.analysis.token,MtasToken,1029,568,105,57,140,158,84,53,17,39
MTAS,mtas.analysis.token,MtasTokenIdFactory,0,17,0,0,0,4,0,2,0,2
MTAS,mtas.analysis.token,MtasPosition,285,298,39,29,59,61,26,19,3,8
MTAS,mtas.analysis.token,MtasTokenCollection,500,473,70,64,88,95,54,26,2,11
MTAS,mtas.analysis.token,MtasTokenCollection.new Comparator() {...},50,78,7,9,3,14,7,3,0,2
MTAS,mtas.analysis.token,MtasTokenCollection.new Iterator() {...},4,24,0,0,1,5,1,3,1,3
MTAS,mtas.parser.function.util,MtasFunctionParserFunctionResponseDouble,39,53,7,7,8,17,8,5,2,4
MTAS,mtas.parser.function.util,MtasFunctionParserFunctionResponse,0,6,0,0,0,3,0,1,0,1
MTAS,mtas.parser.function.util,MtasFunctionParserFunctionBasic,1156,1531,279,209,171,276,212,83,0,12
MTAS,mtas.parser.function.util,MtasFunctionParserFunctionDefault,28,58,6,6,5,13,5,4,1,2
MTAS,mtas.parser.function.util,MtasFunctionParserItem,55,218,5,7,5,50,5,12,0,11
MTAS,mtas.parser.function.util,MtasFunctionParserFunctionResponseLong,54,39,9,5,12,13,9,4,2,4
MTAS,mtas.parser.function.util,MtasFunctionParserFunction,19,113,1,5,5,28,2,12,1,10
MTAS,mtas.search.similarities,MtasSimScorer,9,0,0,0,4,0,4,0,4,0
MTAS,mtas.queries,MtasScoreProvider,8,0,0,0,4,0,3,0,3,0
MTAS,mtas.queries,MtasScoreQuery,19,0,0,0,7,0,4,0,4,0
MTAS,mtas.search.spans.util,MtasExtendedSpanTermQuery,96,119,9,13,18,27,11,7,3,4
MTAS,mtas.search.spans.util,MtasSpanUniquePositionSpans,36,280,11,39,8,70,11,30,3,13
MTAS,mtas.search.spans.util,MtasExtendedSpanTermQuery.SpanTermWeight.new FilterSpans() {...},6,23,3,3,1,5,3,2,0,2
MTAS,mtas.search.spans.util,MtasDisabledTwoPhaseIteratorSpanQuery.MtasDisabledTwoPhaseIteratorWeight,18,25,1,1,4,7,3,2,2,2
MTAS,mtas.search.spans.util,MtasMaximumExpandSpans.new TwoPhaseIterator() {...},16,0,0,0,4,0,3,0,3,0
MTAS,mtas.search.spans.util,MtasMaximumExpandSpans.new TwoPhaseIterator() {...},26,0,4,0,5,0,5,0,3,0
MTAS,mtas.search.spans.util,MtasIgnoreItem,224,593,38,62,44,118,30,37,1,16
MTAS,mtas.search.spans.util,MtasDisabledTwoPhaseIteratorSpans,71,14,2,0,15,5,11,3,10,3
MTAS,mtas.search.spans.util,MtasExtendedTermSpans,77,89,9,9,23,27,8,7,2,4
MTAS,mtas.search.spans.util,MtasExpandSpans,66,433,17,49,21,104,20,29,3,13
MTAS,mtas.search.spans.util,MtasExpandSpanQuery.MtasExpandWeight,43,103,5,11,11,22,7,5,2,2
MTAS,mtas.search.spans.util,MtasSpanUniquePositionQuery,38,110,2,8,8,25,4,11,2,8
MTAS,mtas.search.spans.util,MtasExpandSpans.new TwoPhaseIterator() {...},0,16,0,0,0,4,0,3,0,3
MTAS,mtas.search.spans.util,MtasExpandSpans.new TwoPhaseIterator() {...},2,24,2,2,0,5,2,3,0,3
MTAS,mtas.search.spans.util,MtasSpanQuery,9,80,1,15,2,21,2,16,1,9
MTAS,mtas.search.spans.util,MtasMaximumExpandSpanQuery.MtasMaximumExpandWeight,43,103,5,11,11,22,7,5,2,2
MTAS,mtas.search.spans.util,MtasDisabledTwoPhaseIteratorSpanQuery,67,51,7,3,19,12,10,4,6,3
MTAS,mtas.search.spans.util,MtasSpanUniquePositionQuery.SpanUniquePositionWeight,10,30,0,2,4,9,2,3,2,2
MTAS,mtas.search.spans.util,MtasSpanUniquePositionSpans.Match,27,42,4,6,7,12,5,5,1,4
MTAS,mtas.search.spans.util,MtasSpanWeight,2,7,0,0,1,2,1,1,1,1
MTAS,mtas.search.spans.util,MtasExpandSpanQuery,191,159,20,24,29,37,19,12,3,6
MTAS,mtas.search.spans.util,MtasExtendedSpanTermQuery.SpanTermWeight,68,179,7,19,10,41,9,10,2,4
MTAS,mtas.search.spans.util,MtasSpans,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.search.spans.util,MtasMaximumExpandSpans,188,186,32,18,51,53,28,13,7,9
MTAS,mtas.search.spans.util,MtasMaximumExpandSpanQuery,138,179,11,25,21,40,14,13,3,6
MTAS,mtas.search.spans.util,MtasExtendedSpanAndQuery,69,56,7,5,16,10,7,3,2,2
MTAS,mtas.codec.payload,MtasBitOutputStream,10,99,3,11,4,33,4,11,1,7
MTAS,mtas.codec.payload,MtasBitInputStream,33,94,6,10,8,26,5,9,1,5
MTAS,mtas.codec.payload,MtasPayloadEncoder,157,244,27,25,35,51,20,9,1,2
MTAS,mtas.codec.payload,MtasPayloadDecoder,91,254,14,26,24,64,13,15,0,8
MTAS,mtas.parser.cql,TokenMgrError,171,0,17,0,39,0,18,0,6,0
MTAS,mtas.parser.cql,Token,14,20,0,0,5,7,4,3,4,3
MTAS,mtas.parser.cql,MtasCQLParser,3565,5120,460,674,516,1100,404,430,32,191
MTAS,mtas.parser.cql,MtasCQLParser.JJCalls,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.parser.cql,MtasCQLParserConstants,164,0,0,0,42,0,1,0,1,0
MTAS,mtas.parser.cql,MtasCQLParser.LookaheadSuccess,0,3,0,0,0,1,0,1,0,1
MTAS,mtas.parser.cql,ParseException,357,0,33,0,66,0,26,0,6,0
MTAS,mtas.parser.cql,MtasCQLParserTokenManager,1047,1465,189,185,272,305,151,133,10,27
MTAS,mtas.parser.cql,SimpleCharStream,797,269,46,14,144,61,54,15,26,12
MTAS,mtas.solr.handler.component.util,MtasSolrComponentList,2626,10,178,0,438,5,94,2,5,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentStats,774,2546,100,122,131,452,74,55,5,13
MTAS,mtas.solr.handler.component.util,MtasSolrComponentFacet,2432,10,114,0,416,6,65,2,8,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentGroup,883,974,67,25,138,182,44,10,3,5
MTAS,mtas.solr.handler.component.util,MtasSolrResultMerge,162,691,46,94,37,147,38,41,0,9
MTAS,mtas.solr.handler.component.util,MtasSolrComponentPage,872,3,88,0,145,2,49,1,5,1
MTAS,mtas.solr.handler.component.util,MtasSolrComponentVersion,204,43,15,1,43,13,14,2,6,2
MTAS,mtas.solr.handler.component.util,MtasSolrResultUtil,575,726,54,76,99,153,41,39,3,12
MTAS,mtas.solr.handler.component.util,MtasSolrComponentStatus,13,117,1,9,5,39,4,8,3,4
MTAS,mtas.solr.handler.component.util,MtasSolrCollectionResult,317,477,69,77,45,105,59,32,3,9
MTAS,mtas.solr.handler.component.util,MtasSolrMtasResult,455,472,50,52,84,104,39,21,2,7
MTAS,mtas.solr.handler.component.util,MtasSolrMtasHeatmapResult,0,62,3,3,0,13,3,2,0,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentDocument,991,10,64,0,180,6,37,2,5,2
MTAS,mtas.solr.handler.component.util,MtasSolrComponentPrefix,84,430,26,38,17,95,21,19,0,8
MTAS,mtas.solr.handler.component.util,MtasSolrComponentTermvector,1843,3247,158,250,344,649,125,92,0,13
MTAS,mtas.solr.handler.component.util,MtasSolrComponentHeatmap,616,1189,72,42,99,216,54,13,5,5
MTAS,mtas.solr.handler.component.util,MtasSolrComponentKwic,1643,3,114,0,297,2,63,1,6,1
MTAS,mtas.solr.handler.component.util,MtasSolrComponentCollection,409,1720,85,144,85,376,74,56,0,11
MTAS,mtas.solr.schema,MtasPreAnalyzedField,12,139,1,1,2,34,1,3,0,3
MTAS,mtas.solr.schema,MtasPreAnalyzedParser,63,149,16,14,8,37,13,6,1,3
MTAS,mtas.search.spans,MtasSpanIntersectingQuery,151,187,28,26,33,39,27,10,4,6
MTAS,mtas.search.spans,MtasSpanFollowedBySpans,169,228,40,38,47,60,33,21,6,9
MTAS,mtas.search.spans,MtasSpanNotQuery.MtasSpanNotQuerySpans,4,9,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanSequenceQuery.MtasSpanSequenceQuerySpans,4,12,1,1,0,4,1,1,0,1
MTAS,mtas.search.spans,MtasSpanPrecededByQuery,143,173,26,24,32,35,26,9,4,6
MTAS,mtas.search.spans,MtasSpanEndSpans,59,44,16,4,10,10,16,6,6,6
MTAS,mtas.search.spans,MtasSpanPrecededByQuery.MtasSpanPrecededByQuerySpans,4,9,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanSequenceQuery,236,784,43,105,52,174,39,49,3,11
MTAS,mtas.search.spans,MtasSpanContainingQuery,96,179,28,28,20,41,27,10,3,6
MTAS,mtas.search.spans,MtasSpanFollowedByQuery.MtasSpanFollowedByQuerySpans,4,9,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanSequenceSpans.QueueItem,0,174,2,20,0,40,2,13,0,4
MTAS,mtas.search.spans,MtasSpanSequenceQuery.SpanSequenceWeight,51,117,11,11,14,30,9,6,1,3
MTAS,mtas.search.spans,MtasSpanSequenceQuery.MtasSpanSequenceQueryWeight,0,9,0,0,0,4,0,1,0,1
MTAS,mtas.search.spans,MtasSpanPrecededBySpans,171,243,40,38,49,64,33,21,6,9
MTAS,mtas.search.spans,MtasSpanStartSpans,26,79,11,11,4,15,12,11,2,10
MTAS,mtas.search.spans,MtasSpanIntersectingSpans,107,282,32,46,30,76,31,23,5,10
MTAS,mtas.search.spans,MtasSpanRecurrenceQuery,177,266,32,32,33,68,27,20,3,12
MTAS,mtas.search.spans,MtasSpanWildcardQuery,305,0,30,0,57,0,24,0,9,0
MTAS,mtas.search.spans,MtasSpanPrefixQuery,131,156,14,14,21,31,18,5,5,4
MTAS,mtas.search.spans,MtasSpanFullyAlignedWithQuery.MtasSpanFullyAlignedWithQuerySpans,4,9,1,1,0,3,1,1,0,1
MTAS,mtas.search.spans,MtasSpanSequenceSpans.Match,45,40,5,5,8,12,7,4,2,4
MTAS,mtas.search.spans,MtasSpanNotSpans,128,404,31,71,32,104,26,42,4,13
MTAS,mtas.search.spans,MtasSpanNotQuery.MtasSpanNotQueryWeight,0,6,0,0,0,3,0,1,0,1
MTAS,mtas.search.spans,MtasSpanNotQuery,116,169,20,18,26,36,20,9,4,6
MTAS,mtas.search.spans,MtasSpanFollowedByQuery.SpanFollowedByWeight,24,56,1,1,7,14,3,2,2,2
MTAS,mtas.search.spans,MtasSpanSequenceSpans,490,1171,129,203,85,259,90,97,2,19
MTAS,mtas.search.spans,MtasSpanNotSpans.new TwoPhaseIterator() {...},0,17,0,0,0,4,0,3,0,3
MTAS,mtas.search.spans,MtasSpanNotSpans.new TwoPhaseIterator() {...},2,24,2,2,0,4,2,3,0,3
MTAS,mtas.search.spans,MtasSpanEndQuery,56,85,4,8,12,22,6,9,3,6
MTAS,mtas.search.spans,MtasSpanWithinQuery,379,478,56,56,84,113,44,22,1,9
